date_time,username,rating,comment
2024-06-04 12:38:32,Michael,1,Interesting insights into testing.
2024-06-04 23:21:32,Thomas,1,Would recommend to others.
2024-06-05 17:32:32,Emma,4,"Excellent speaker, loved the examples."
2024-06-07 05:00:32,Jane,2,"Great delivery, learned a lot."
2024-06-08 01:43:32,Daniel,2,"Clear and concise, very helpful."
2024-06-08 10:10:32,Olivia,1,"Helpful tips, will apply in my work."
2024-06-09 10:29:32,Emily,1,"Informative, but room for improvement."
2024-06-10 20:26:32,Charlotte,5,"Useful, but could use more examples."
2024-06-15 08:49:32,Isabella,2,Appreciated the practical advice.
2024-06-15 10:07:32,Mia,4,"Not what I expected, but informative."
2024-06-21 18:32:32,Paul,4,"Great talk, learned a lot!"
2024-06-25 01:35:32,Sophia,5,Very detailed and thorough.
2024-06-25 03:23:32,Amelia,5,Engaging and well-structured talk.
2024-06-25 08:30:32,Chris,5,Good overview of testing techniques.
2024-06-26 15:24:32,Ava,2,Very well presented and insightful.
2024-06-26 22:54:32,John,2,Loved the interactive elements.
2024-06-29 01:24:32,Mark,1,A bit too fast-paced for my liking.
2024-06-30 16:39:32,David,5,"Too technical, got lost at times."
2024-07-05 04:46:32,James,2,Could have been more hands-on.
2024-07-05 09:14:32,Robert,1,Good content but could be more engaging.
